XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-74.01575600,40.71151200,33,123,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,327,Vesey Pl & River Terrace,40.715338,-74.016584,18088,Subscriber,1968,1
-74.01658354,40.71533790,46,199,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,3002,South End Ave & Liberty St,40.711512,-74.015756,18088,Subscriber,1968,1
-74.00277668,40.76087502,59,925,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,426,West St & Chambers St,40.717548,-74.013221,17732,Subscriber,1969,1
-74.00176802,40.75066386,60,840,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,519,Pershing Square North,40.751873,-73.977706,17061,Subscriber,1985,1
-73.99404649,40.72903917,101,699,NULL,NULL,335,Washington Pl & Broadway,40.729039,-73.994046,503,E 20 St & Park Ave,40.738274,-73.987520,15155,Subscriber,1988,1
-73.99637500,40.71729000,128,100,NULL,NULL,263,Elizabeth St & Hester St,40.717290,-73.996375,268,Howard St & Centre St,40.719105,-73.999733,18879,Subscriber,1967,1
-73.99098507,40.75756990,160,1229,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,346,Bank St & Hudson St,40.736529,-74.006180,14664,Subscriber,1981,1
-73.99098507,40.75756990,167,1761,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,345,W 13 St & 6 Ave,40.736494,-73.997044,16527,Subscriber,1984,1
-73.99704680,40.71413089,196,174,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,361,Allen St & Hester St,40.716059,-73.991908,20856,Subscriber,1985,1
-73.98692300,40.73423200,200,571,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,394,E 9 St & Avenue C,40.725213,-73.977688,18003,Subscriber,1965,1
-73.99193043,40.71173107,204,445,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,403,E 2 St & 2 Ave,40.725029,-73.990697,16746,Subscriber,1989,1
-74.00277668,40.76087502,216,1398,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,426,West St & Chambers St,40.717548,-74.013221,17180,Subscriber,1990,1
-73.98014437,40.75500254,229,407,NULL,NULL,484,W 44 St & 5 Ave,40.755003,-73.980144,522,E 51 St & Lexington Ave,40.757148,-73.972078,21256,Subscriber,1954,1
-73.98142006,40.72740794,231,405,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,236,St Marks Pl & 2 Ave,40.728419,-73.987140,20652,Subscriber,1968,2
-73.99147535,40.72229346,245,476,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,336,Sullivan St & Washington Sq,40.730477,-73.999061,20563,Subscriber,1988,1
-74.00176802,40.75066386,264,363,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,446,W 24 St & 7 Ave,40.744876,-73.995299,19426,Subscriber,1970,1
-73.99404649,40.72903917,289,1088,NULL,NULL,335,Washington Pl & Broadway,40.729039,-73.994046,311,Norfolk St & Broome St,40.717227,-73.988021,17584,Subscriber,1981,1
-73.99695094,40.72679454,300,255,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,439,E 4 St & 2 Ave,40.726281,-73.989780,17469,Subscriber,1990,1
-73.98692300,40.73423200,342,450,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,435,W 21 St & 6 Ave,40.741740,-73.994156,16825,Subscriber,1966,1
-73.98692300,40.73423200,356,282,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,545,E 23 St & 1 Ave,40.736502,-73.978095,19843,Subscriber,1981,1
-73.98014437,40.75500254,358,1344,NULL,NULL,484,W 44 St & 5 Ave,40.755003,-73.980144,504,1 Ave & E 15 St,40.732219,-73.981656,20929,Subscriber,1982,1
-74.00176802,40.75066386,370,283,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,470,W 20 St & 8 Ave,40.743453,-74.000040,21012,Subscriber,1957,1
-73.99404649,40.72903917,409,153,NULL,NULL,335,Washington Pl & Broadway,40.729039,-73.994046,252,MacDougal St & Washington Sq,40.732264,-73.998522,20009,Subscriber,1981,1
-73.99704680,40.71413089,413,528,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,428,E 3 St & 1 Ave,40.724677,-73.987834,21387,Subscriber,1961,1
-73.99695094,40.72679454,466,197,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,403,E 2 St & 2 Ave,40.725029,-73.990697,19210,Subscriber,1986,1
-73.99098507,40.75756990,486,395,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,318,E 43 St & Vanderbilt Ave,40.753202,-73.977987,17582,Subscriber,1985,1
-73.98692300,40.73423200,493,469,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,116,W 17 St & 8 Ave,40.741776,-74.001497,17273,Subscriber,1980,2
-73.99098507,40.75756990,495,690,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,442,W 27 St & 7 Ave,40.746647,-73.993915,15208,Subscriber,1981,1
-73.98692300,40.73423200,500,2161,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,442,W 27 St & 7 Ave,40.746647,-73.993915,21066,Customer,0,0
-73.98692300,40.73423200,502,1994,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,442,W 27 St & 7 Ave,40.746647,-73.993915,20119,Customer,0,0
-74.00176802,40.75066386,513,381,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,466,W 25 St & 6 Ave,40.743954,-73.991449,14881,Subscriber,1978,1
-73.99192540,40.72110063,517,1275,NULL,NULL,473,Rivington St & Chrystie St,40.721101,-73.991925,361,Allen St & Hester St,40.716059,-73.991908,15122,Customer,0,0
-73.99695094,40.72679454,562,424,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,247,Perry St & Bleecker St,40.735354,-74.004831,20308,Subscriber,1988,1
-74.00176802,40.75066386,566,238,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,379,W 31 St & 7 Ave,40.749156,-73.991600,16875,Subscriber,1971,1
-73.97574813,40.72368361,567,1214,NULL,NULL,266,Avenue D & E 8 St,40.723684,-73.975748,417,Barclay St & Church St,40.712912,-74.010202,20120,Subscriber,1987,2
-73.99695094,40.72679454,572,370,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,150,E 2 St & Avenue C,40.720874,-73.980858,15032,Subscriber,1995,1
-73.97422494,40.72580614,590,835,NULL,NULL,339,Avenue D & E 12 St,40.725806,-73.974225,307,Canal St & Rutgers St,40.714275,-73.989900,16545,Subscriber,1965,2
-73.98014437,40.75500254,630,332,NULL,NULL,484,W 44 St & 5 Ave,40.755003,-73.980144,352,W 56 St & 6 Ave,40.763406,-73.977225,21135,Subscriber,1983,1
-73.98776323,40.71269042,637,326,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,265,Stanton St & Chrystie St,40.722293,-73.991475,21349,Subscriber,1985,1
-73.97668709,40.72228087,645,311,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,511,E 14 St & Avenue B,40.729387,-73.977724,17999,Subscriber,1977,1
-73.97793172,40.72082834,654,598,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,2009,Catherine St & Monroe St,40.711174,-73.996826,16069,Subscriber,1951,1
-73.98776323,40.71269042,656,315,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,296,Division St & Bowery,40.714131,-73.997047,17987,Subscriber,1965,2
-74.01575600,40.71151200,664,401,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,79,Franklin St & W Broadway,40.719116,-74.006667,18854,Subscriber,1945,1
-73.99147535,40.72229346,675,1020,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,265,Stanton St & Chrystie St,40.722293,-73.991475,20852,Subscriber,1966,1
-74.01575600,40.71151200,679,353,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,147,Greenwich St & Warren St,40.715422,-74.011220,21422,Subscriber,1953,1
-73.99098507,40.75756990,684,626,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,520,W 52 St & 5 Ave,40.759923,-73.976485,17124,Subscriber,1970,1
-73.98142006,40.72740794,685,425,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,325,E 19 St & 3 Ave,40.736245,-73.984738,18247,Subscriber,1978,1
-73.99193043,40.71173107,689,921,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,317,E 6 St & Avenue B,40.724537,-73.981854,18092,Subscriber,1990,2
-73.99098507,40.75756990,707,247,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,478,11 Ave & W 41 St,40.760301,-73.998842,15747,Subscriber,1974,1
-73.97628939,40.71782143,709,375,NULL,NULL,341,Stanton St & Mangin St,40.717821,-73.976289,311,Norfolk St & Broome St,40.717227,-73.988021,15960,Subscriber,1964,1
-74.00176802,40.75066386,710,113,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,512,W 29 St & 9 Ave,40.750073,-73.998393,16252,Subscriber,1970,1
-73.99192540,40.72110063,715,179,NULL,NULL,473,Rivington St & Chrystie St,40.721101,-73.991925,251,Mott St & Prince St,40.723180,-73.994800,19757,Subscriber,1966,1
-73.99704680,40.71413089,730,143,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,82,St James Pl & Pearl St,40.711174,-74.000165,17987,Subscriber,1989,1
-73.98776323,40.71269042,752,1314,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,476,E 31 St & 3 Ave,40.743943,-73.979661,18783,Subscriber,1986,2
-73.97668709,40.72228087,763,1298,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,442,W 27 St & 7 Ave,40.746647,-73.993915,15403,Subscriber,1963,1
-73.97422494,40.72580614,767,1991,NULL,NULL,339,Avenue D & E 12 St,40.725806,-73.974225,339,Avenue D & E 12 St,40.725806,-73.974225,18384,Subscriber,1951,1
-73.97793172,40.72082834,784,777,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,151,Cleveland Pl & Spring St,40.721816,-73.997203,16576,Subscriber,1962,2
-74.01575600,40.71151200,790,625,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,151,Cleveland Pl & Spring St,40.721816,-73.997203,18088,Subscriber,1977,1
-74.01575600,40.71151200,792,1735,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,457,Broadway & W 58 St,40.766953,-73.981693,21124,Subscriber,1974,1
-73.97628939,40.71782143,793,526,NULL,NULL,341,Stanton St & Mangin St,40.717821,-73.976289,295,Pike St & E Broadway,40.714067,-73.992939,18791,Subscriber,1972,2
-74.00176802,40.75066386,795,313,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,212,W 16 St & The High Line,40.743349,-74.006818,19305,Subscriber,1964,1
-73.97628939,40.71782143,799,1820,NULL,NULL,341,Stanton St & Mangin St,40.717821,-73.976289,296,Division St & Bowery,40.714131,-73.997047,17615,Subscriber,1938,1
-73.99637500,40.71729000,813,464,NULL,NULL,263,Elizabeth St & Hester St,40.717290,-73.996375,257,Lispenard St & Broadway,40.719392,-74.002472,17912,Subscriber,1954,1
-73.99098507,40.75756990,825,1376,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,382,University Pl & E 14 St,40.734927,-73.992005,20267,Customer,0,0
-73.98142006,40.72740794,827,237,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,301,E 2 St & Avenue B,40.722174,-73.983688,18796,Subscriber,1990,1
-73.99160000,40.74915600,837,793,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,438,St Marks Pl & 1 Ave,40.727791,-73.985649,20727,Subscriber,1978,1
-73.97793172,40.72082834,841,1068,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,327,Vesey Pl & River Terrace,40.715338,-74.016584,16994,Subscriber,1991,1
-74.01575600,40.71151200,847,196,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,426,West St & Chambers St,40.717548,-74.013221,21422,Subscriber,1997,2
-73.99704680,40.71413089,853,256,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,340,Madison St & Clinton St,40.712690,-73.987763,18209,Subscriber,1975,2
-73.99193043,40.71173107,854,228,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,2009,Catherine St & Monroe St,40.711174,-73.996826,19343,Subscriber,1972,2
-73.97948148,40.71219906,860,744,NULL,NULL,332,Cherry St,40.712199,-73.979481,439,E 4 St & 2 Ave,40.726281,-73.989780,21039,Subscriber,1972,1
-73.98142006,40.72740794,863,272,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,301,E 2 St & Avenue B,40.722174,-73.983688,20299,Subscriber,1990,1
-73.97948148,40.71219906,869,889,NULL,NULL,332,Cherry St,40.712199,-73.979481,507,E 25 St & 2 Ave,40.739126,-73.979738,17367,Subscriber,1958,2
-73.99147535,40.72229346,882,284,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,268,Howard St & Centre St,40.719105,-73.999733,18742,Subscriber,1967,1
-73.97668709,40.72228087,908,1055,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,315,South St & Gouverneur Ln,40.703554,-74.006702,16693,Subscriber,1979,1
-74.01658354,40.71533790,913,792,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,268,Howard St & Centre St,40.719105,-73.999733,16994,Subscriber,1956,2
-74.01713445,40.70834698,922,781,NULL,NULL,363,West Thames St,40.708347,-74.017134,355,Bayard St & Baxter St,40.716021,-73.999744,17692,Subscriber,1954,1
-73.97793172,40.72082834,927,727,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,531,Forsyth St & Broome St,40.718939,-73.992663,15426,Subscriber,1973,2
-73.99098507,40.75756990,940,1517,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,508,W 46 St & 11 Ave,40.763414,-73.996674,15926,Customer,0,0
-73.99098507,40.75756990,941,1476,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,508,W 46 St & 11 Ave,40.763414,-73.996674,18984,Customer,0,0
-73.98692300,40.73423200,950,301,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,236,St Marks Pl & 2 Ave,40.728419,-73.987140,14941,Subscriber,1965,2
-73.99404649,40.72903917,960,500,NULL,NULL,335,Washington Pl & Broadway,40.729039,-73.994046,268,Howard St & Centre St,40.719105,-73.999733,16696,Subscriber,1987,2
-73.99637500,40.71729000,967,1598,NULL,NULL,263,Elizabeth St & Hester St,40.717290,-73.996375,518,E 39 St & 2 Ave,40.747804,-73.973442,20726,Subscriber,1976,1
-73.99400398,40.71076228,969,737,NULL,NULL,408,Market St & Cherry St,40.710762,-73.994004,315,South St & Gouverneur Ln,40.703554,-74.006702,18350,Subscriber,1957,1
-73.97793172,40.72082834,980,522,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,504,1 Ave & E 15 St,40.732219,-73.981656,16176,Subscriber,1977,1
-73.98776323,40.71269042,985,417,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,386,Centre St & Worth St,40.714948,-74.002345,18209,Subscriber,1977,1
-74.01575600,40.71151200,1021,252,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,417,Barclay St & Church St,40.712912,-74.010202,19097,Subscriber,1959,2
-73.99192540,40.72110063,1025,195,NULL,NULL,473,Rivington St & Chrystie St,40.721101,-73.991925,250,Lafayette St & Jersey St,40.724561,-73.995653,15933,Subscriber,1985,2
-74.01575600,40.71151200,1030,123,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,327,Vesey Pl & River Terrace,40.715338,-74.016584,20889,Subscriber,1987,1
-73.97422494,40.72580614,1044,1021,NULL,NULL,339,Avenue D & E 12 St,40.725806,-73.974225,412,Forsyth St & Canal St,40.715815,-73.994224,21011,Subscriber,1980,1
-74.01658354,40.71533790,1051,156,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,3002,South End Ave & Liberty St,40.711512,-74.015756,20889,Subscriber,1987,1
-74.01713445,40.70834698,1054,521,NULL,NULL,363,West Thames St,40.708347,-74.017134,426,West St & Chambers St,40.717548,-74.013221,14842,Subscriber,1986,2
-73.99193043,40.71173107,1058,503,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,146,Hudson St & Reade St,40.716250,-74.009106,19954,Subscriber,1975,1
-73.99193043,40.71173107,1071,506,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,394,E 9 St & Avenue C,40.725213,-73.977688,16059,Subscriber,1990,1
-73.97793172,40.72082834,1086,653,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,361,Allen St & Hester St,40.716059,-73.991908,20218,Subscriber,1955,1
-73.98692300,40.73423200,1102,146,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,497,E 17 St & Broadway,40.737050,-73.990093,18718,Subscriber,1974,2
-74.00670227,40.70355377,1117,449,NULL,NULL,315,South St & Gouverneur Ln,40.703554,-74.006702,408,Market St & Cherry St,40.710762,-73.994004,18350,Subscriber,1957,1
-74.00176802,40.75066386,1148,502,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,486,Broadway & W 29 St,40.746201,-73.988557,16014,Subscriber,1967,1
-74.00176802,40.75066386,1149,498,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,486,Broadway & W 29 St,40.746201,-73.988557,15596,Subscriber,1973,1
-73.99098507,40.75756990,1151,391,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,508,W 46 St & 11 Ave,40.763414,-73.996674,18270,Customer,0,0
-74.01713445,40.70834698,1152,326,NULL,NULL,363,West Thames St,40.708347,-74.017134,417,Barclay St & Church St,40.712912,-74.010202,16533,Subscriber,1976,2
-73.98142006,40.72740794,1154,1572,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,301,E 2 St & Avenue B,40.722174,-73.983688,19457,Subscriber,1986,2
-73.98142006,40.72740794,1155,1569,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,301,E 2 St & Avenue B,40.722174,-73.983688,16327,Subscriber,1984,1
-74.01713445,40.70834698,1160,1185,NULL,NULL,363,West Thames St,40.708347,-74.017134,225,W 14 St & The High Line,40.741951,-74.008030,19357,Subscriber,1986,2
-73.97574813,40.72368361,1190,393,NULL,NULL,266,Avenue D & E 8 St,40.723684,-73.975748,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,20974,Subscriber,1965,2
-73.97948148,40.71219906,1195,1071,NULL,NULL,332,Cherry St,40.712199,-73.979481,195,Liberty St & Broadway,40.709056,-74.010434,20326,Subscriber,1956,1
-74.01658354,40.71533790,1196,269,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,363,West Thames St,40.708347,-74.017134,18493,Subscriber,1983,1
-73.99704680,40.71413089,1204,190,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,307,Canal St & Rutgers St,40.714275,-73.989900,18111,Subscriber,1962,2
-73.99704680,40.71413089,1216,1187,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,476,E 31 St & 3 Ave,40.743943,-73.979661,16754,Subscriber,1955,1
-73.98142006,40.72740794,1224,569,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,444,Broadway & W 24 St,40.742354,-73.989151,16095,Subscriber,1988,1
-73.99704680,40.71413089,1231,467,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,257,Lispenard St & Broadway,40.719392,-74.002472,21178,Subscriber,1948,1
-74.01713445,40.70834698,1232,338,NULL,NULL,363,West Thames St,40.708347,-74.017134,360,William St & Pine St,40.707179,-74.008873,15601,Subscriber,1968,1
-73.97948148,40.71219906,1254,919,NULL,NULL,332,Cherry St,40.712199,-73.979481,291,Madison St & Montgomery St,40.713126,-73.984844,19148,Subscriber,1984,1
-73.97668709,40.72228087,1278,789,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,435,W 21 St & 6 Ave,40.741740,-73.994156,18472,Subscriber,1986,1
-73.97668709,40.72228087,1284,1193,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,377,6 Ave & Canal St,40.722438,-74.005664,15247,Subscriber,1978,1
-74.01575600,40.71151200,1309,1490,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,505,6 Ave & W 33 St,40.749013,-73.988484,14814,Subscriber,1985,1
-73.99192540,40.72110063,1311,185,NULL,NULL,473,Rivington St & Chrystie St,40.721101,-73.991925,403,E 2 St & 2 Ave,40.725029,-73.990697,17088,Subscriber,1954,1
-73.99147535,40.72229346,1315,218,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,250,Lafayette St & Jersey St,40.724561,-73.995653,21349,Subscriber,1965,2
-73.99637500,40.71729000,1319,467,NULL,NULL,263,Elizabeth St & Hester St,40.717290,-73.996375,265,Stanton St & Chrystie St,40.722293,-73.991475,18511,Customer,0,0
-73.98142006,40.72740794,1322,191,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,393,E 5 St & Avenue C,40.722992,-73.979955,20329,Customer,0,0
-73.98142006,40.72740794,1326,199,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,483,E 12 St & 3 Ave,40.732233,-73.988900,17861,Subscriber,1988,1
-73.98776323,40.71269042,1328,850,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,19985,Subscriber,1983,2
-73.97628939,40.71782143,1339,543,NULL,NULL,341,Stanton St & Mangin St,40.717821,-73.976289,151,Cleveland Pl & Spring St,40.721816,-73.997203,18487,Subscriber,1982,1
-73.99147535,40.72229346,1351,296,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,340,Madison St & Clinton St,40.712690,-73.987763,17881,Subscriber,1985,1
-73.97948148,40.71219906,1352,736,NULL,NULL,332,Cherry St,40.712199,-73.979481,315,South St & Gouverneur Ln,40.703554,-74.006702,21106,Subscriber,1976,1
-73.97948148,40.71219906,1353,730,NULL,NULL,332,Cherry St,40.712199,-73.979481,315,South St & Gouverneur Ln,40.703554,-74.006702,14705,Subscriber,1981,2
-73.98142006,40.72740794,1380,787,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,382,University Pl & E 14 St,40.734927,-73.992005,15904,Customer,0,0
-73.97668709,40.72228087,1399,708,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,483,E 12 St & 3 Ave,40.732233,-73.988900,16272,Subscriber,1961,1
-73.99160000,40.74915600,1407,510,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,448,W 37 St & 10 Ave,40.756604,-73.997901,20278,Subscriber,1985,2
-73.99404649,40.72903917,1413,84,NULL,NULL,335,Washington Pl & Broadway,40.729039,-73.994046,294,Washington Square E,40.730494,-73.995721,19903,Subscriber,1985,1
-73.99098507,40.75756990,1415,533,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,476,E 31 St & 3 Ave,40.743943,-73.979661,20530,Subscriber,1990,1
-74.00176802,40.75066386,1416,423,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,284,Greenwich Ave & 8 Ave,40.739017,-74.002638,19073,Subscriber,1962,1
-73.99637500,40.71729000,1420,660,NULL,NULL,263,Elizabeth St & Hester St,40.717290,-73.996375,252,MacDougal St & Washington Sq,40.732264,-73.998522,14551,Subscriber,1969,1
-73.97948148,40.71219906,1436,3045,NULL,NULL,332,Cherry St,40.712199,-73.979481,435,W 21 St & 6 Ave,40.741740,-73.994156,20913,Customer,0,0
-73.99704680,40.71413089,1456,1459,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,296,Division St & Bowery,40.714131,-73.997047,15286,Subscriber,1969,1
-73.99160000,40.74915600,1464,3956,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,309,Murray St & West St,40.714979,-74.013012,20657,Customer,0,0
-73.99160000,40.74915600,1474,3917,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,309,Murray St & West St,40.714979,-74.013012,21674,Customer,0,0
-74.00176802,40.75066386,1486,410,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,498,Broadway & W 32 St,40.748549,-73.988084,20307,Subscriber,1981,2
-74.00176802,40.75066386,1487,636,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,318,E 43 St & Vanderbilt Ave,40.753202,-73.977987,17300,Subscriber,1992,1
-74.00176802,40.75066386,1494,324,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,446,W 24 St & 7 Ave,40.744876,-73.995299,19929,Subscriber,1984,1
-73.97668709,40.72228087,1499,685,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,531,Forsyth St & Broome St,40.718939,-73.992663,18186,Subscriber,1954,1
-74.01575600,40.71151200,1528,256,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,147,Greenwich St & Warren St,40.715422,-74.011220,19097,Subscriber,1969,1
-73.97668709,40.72228087,1537,821,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,284,Greenwich Ave & 8 Ave,40.739017,-74.002638,17157,Subscriber,1994,1
-73.99160000,40.74915600,1540,208,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,466,W 25 St & 6 Ave,40.743954,-73.991449,19239,Subscriber,1979,1
-74.00277668,40.76087502,1556,1229,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,358,Christopher St & Greenwich St,40.732916,-74.007114,14788,Subscriber,1958,1
-73.99695094,40.72679454,1558,454,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,382,University Pl & E 14 St,40.734927,-73.992005,19368,Subscriber,1984,1
-73.97422494,40.72580614,1563,822,NULL,NULL,339,Avenue D & E 12 St,40.725806,-73.974225,401,Allen St & Rivington St,40.720196,-73.989978,21011,Subscriber,1980,1
-73.98776323,40.71269042,1570,1115,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,116,W 17 St & 8 Ave,40.741776,-74.001497,16299,Subscriber,1981,1
-73.99695094,40.72679454,1577,907,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,536,1 Ave & E 30 St,40.741444,-73.975361,18783,Subscriber,1982,1
-73.99704680,40.71413089,1608,756,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,147,Greenwich St & Warren St,40.715422,-74.011220,17170,Subscriber,1980,1
-74.01575600,40.71151200,1656,701,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,348,W Broadway & Spring St,40.724910,-74.001547,21124,Subscriber,1987,2
-73.99637500,40.71729000,1675,280,NULL,NULL,263,Elizabeth St & Hester St,40.717290,-73.996375,401,Allen St & Rivington St,40.720196,-73.989978,16379,Subscriber,1978,2
-73.99160000,40.74915600,1697,661,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,335,Washington Pl & Broadway,40.729039,-73.994046,19867,Subscriber,1975,1
-73.98692300,40.73423200,1715,435,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,453,W 22 St & 8 Ave,40.744751,-73.999154,19888,Subscriber,1982,1
-74.00176802,40.75066386,1732,496,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,379,W 31 St & 7 Ave,40.749156,-73.991600,15842,Subscriber,1982,2
